Game ID, Expected payoff of player1 from approx, Expected payoff of player1 real, epsilon player1, Expected payoff of player2 from approx, Expected payoff of player2 real, epsilon player2, player_1_strategy, player_2_strategy
48, 0.794118, 0.591075, -0.203042, 0.394737, 0.658606, 0.263869, "[0.5, 0.5, 0.0]", "[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]"
49, 0.921053, 0.894737, -0.026316, 0.618421, 0.631579, 0.013158, "[0.5, 0.0, 0.0, 0.5]", "[0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
50, 0.921053, 1.0, 0.078947, 0.618421, 1.0, 0.381579, "[0.5, 0.0, 0.0, 0.5]", "[0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
51, 0.921053, 0.763158, -0.157895, 0.618421, 0.68421, 0.065789, "[0.5, 0.0, 0.0, 0.5]", "[0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
52, 0.75, 1.0, 0.25, 0.68421, 1.0, 0.31579, "[0.0, 0.0, 0.5, 0.5, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0]"
53, 0.776316, 1.0, 0.223684, 0.652778, 0.944444, 0.291666, "[0.5, 0.5, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]"
54, 0.776316, 0.947368, 0.171052, 0.652778, 1.0, 0.347222, "[0.5, 0.5, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]"
55, 0.776316, 0.614035, -0.162281, 0.652778, 0.755555, 0.102778, "[0.5, 0.5, 0.0]", "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]"
56, 0.794118, 0.823529, 0.029411, 0.6, 0.933333, 0.333333, "[0.0, 1.0, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.5]"
57, 0.833333, 1.0, 0.166667, 0.486111, 1.0, 0.513889, "[0.5, 0.5]", "[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
58, 0.485294, 0.517647, 0.032353, 0.513889, 0.901961, 0.388072, "[0.5, 0.0, 0.5]", "[0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]"
59, 0.68421, 0.947368, 0.263158, 0.75, 0.947368, 0.197368, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
60, 0.68421, 0.947368, 0.263158, 0.75, 0.789474, 0.039474, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
61, 0.68421, 0.763158, 0.078948, 0.75, 0.752632, 0.002631, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
62, 0.68421, 0.681847, -0.002363, 0.75, 0.794633, 0.044633, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
63, 0.68421, 0.65432, -0.02989, 0.75, 0.763499, 0.013499, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
64, 0.68421, 0.67283, -0.01138, 0.75, 0.729611, -0.020389, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
65, 0.68421, 0.654289, -0.029921, 0.75, 0.75923, 0.009229, "[0.0, 0.5, 0.0, 0.5, 0.0, 0.0]", "[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]"
66, 0.446428, 0.857143, 0.410714, 0.520833, 0.583333, 0.0625, "[0.5, 0.5]", "[0.0, 0.5, 0.5, 0.0, 0.0]"
67, 0.446428, 0.5, 0.053571, 0.520833, 1.0, 0.479167, "[0.5, 0.5]", "[0.0, 0.5, 0.5, 0.0, 0.0]"
68, 0.446428, 0.315789, -0.130639, 0.520833, 0.47619, -0.044643, "[0.5, 0.5]", "[0.0, 0.5, 0.5, 0.0, 0.0]"
69, 0.455882, 0.823529, 0.367647, 0.484375, 0.8125, 0.328125, "[0.0, 0.5, 0.0, 0.5]", "[0.0, 0.5, 0.0, 0.5]"
70, 0.694444, 0.888889, 0.194445, 0.666666, 1.0, 0.333333, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0]", "[0.0, 0.5, 0.5, 0.0]"
71, 0.5, 1.0, 0.5, 0.533333, 0.8, 0.266667, "[0.0, 0.5, 0.5]", "[0.0, 0.5, 0.0, 0.5]"
72, 0.5, 0.604167, 0.104167, 0.533333, 0.761905, 0.228571, "[0.0, 0.5, 0.5]", "[0.0, 0.5, 0.0, 0.5]"
73, 0.5, 0.6875, 0.1875, 0.533333, 0.666666, 0.133333, "[0.0, 0.5, 0.5]", "[0.0, 0.5, 0.0, 0.5]"
74, 0.5625, 1.0, 0.4375, 0.552632, 0.842105, 0.289474, "[0.5, 0.5]", "[0.5, 0.5, 0.0, 0.0]"
75, 0.5625, 0.722222, 0.159722, 0.552632, 0.631579, 0.078947, "[0.5, 0.5]", "[0.5, 0.5, 0.0, 0.0]"
76, 0.5625, 0.315972, -0.246528, 0.552632, 0.68421, 0.131579, "[0.5, 0.5]", "[0.5, 0.5, 0.0, 0.0]"
77, 0.842106, 1.0, 0.157895, 0.82353, 0.705882, -0.117648, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[1.0, 0.0, 0.0]"
78, 0.842106, 0.894737, 0.052632, 0.82353, 0.941176, 0.117646, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[1.0, 0.0, 0.0]"
79, 0.842106, 0.710527, -0.131579, 0.82353, 0.647059, -0.176471, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[1.0, 0.0, 0.0]"
80, 0.842106, 0.834587, -0.007519, 0.82353, 0.653594, -0.169935, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[1.0, 0.0, 0.0]"
81, 0.842106, 0.646357, -0.195748, 0.82353, 0.632353, -0.191177, "[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]", "[1.0, 0.0, 0.0]"
82, 0.644737, 0.894737, 0.25, 0.592105, 0.947368, 0.355263, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
83, 0.644737, 0.87594, 0.231203, 0.592105, 0.722222, 0.130117, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
84, 0.644737, 0.870445, 0.225708, 0.592105, 0.714681, 0.122576, "[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]", "[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
85, 0.583334, 0.722222, 0.138889, 0.5, 0.888889, 0.388889, "[0.0, 1.0, 0.0]", "[0.5, 0.5]"
