RD Payoff P1, RD Payoff P2, Best Payoff P1, Best Payoff P2
0.842105,0.947368,0.736842,0.789473
1.0,0.947368,0.736842,0.789473
0.894737,0.947368,0.736842,0.789473
0.7192986590908478,0.9298245523177291,0.736842,0.789473
0.7990431442471267,0.7044535441036622,0.736842,0.789473
0.6970477448229857,0.9104142561955901,0.736842,0.789473
0.7582846712850866,0.6664818135983273,0.736842,0.789473
0.7853455888481642,0.697286645358748,0.736842,0.789473
0.7027353151374749,0.6567804869813668,0.736842,0.789473
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.8611110147431125,0.6999998445228058,1.0,1.0
0.5000001609628595,0.6842103589819585,1.0,0.8125
0.842105,0.894737,0.842106,0.631579
0.947368,0.789474,0.921052,1.0
0.6120488680051979,0.5058478479810097,0.921052,1.0
0.5619240067539639,0.4213321039926907,0.921052,1.0
1.0,0.842105,0.921052,1.0
0.8277512604610079,0.7684210590516807,0.921052,1.0
0.8877189949441304,0.7105259841253889,0.921052,1.0
0.8684208271956524,0.674640821782778,0.921052,1.0
0.7478063914466277,0.7113237103334313,0.921052,1.0
0.6560527777443085,0.5692424139254387,0.921052,1.0
0.8269535308038373,0.5982234380863685,0.921052,1.0
1.0,0.875,1.0,0.9375
0.888889,1.0,0.694444,0.722222
0.888889,0.777778,0.694444,0.722222
0.6965808769364754,0.5384614680416389,0.694444,0.722222
0.7593983861145237,0.7368419674589164,0.68421,0.842106
0.944444,1.0,0.972222,1.0
0.625,0.666667,0.84375,0.766666
1.0,0.789474,0.875,0.81579
0.533333,1.0,0.766666,1.0
0.611111,1.0,0.75,0.921052
0.444444,1.0,0.75,0.921052
0.4166666008999428,0.6578942255609621,0.75,0.921052
0.947368,0.9375,1.0,0.6875
1.0,0.375,1.0,0.6875
0.6947366910890611,0.31249910757671573,1.0,0.6875
0.888889,0.789474,0.805556,1.0
0.7083335817996527,0.8851673061269456,0.805556,1.0
0.7499998855845815,0.5684210133478231,0.805556,1.0
0.947368,0.684211,0.973684,0.842106
1.0,0.947368,0.973684,0.842106
0.9122806577989988,0.6428572901275714,0.973684,0.842106
0.8646619663597765,0.6222915335845522,0.973684,0.842106
0.7994993668118113,0.6151318683998789,0.973684,0.842106
1.0,0.894737,0.842106,0.684211
0.7982457878759687,0.8660289930652684,0.842106,0.684211
0.7631575639746196,0.631579097407891,0.842106,0.684211
0.6968926155802979,0.573806327898614,0.842106,0.684211
0.6291521475181152,0.5120147049314032,0.842106,0.684211
0.375,1.0,0.53125,1.0
0.631579,0.882353,1.0,0.852941
0.5394739174379721,0.6862748703642833,1.0,0.852941
0.5340179520145856,0.6666669133575548,1.0,0.852941
0.520871166522016,0.6666667539244601,1.0,0.852941
0.5321639330795805,0.6660342270738956,1.0,0.852941
0.4761903061226813,0.7142852371591015,0.666666,0.78125
0.894737,0.947368,0.842106,0.605263
0.6578947549486432,0.6616544525055681,0.842106,0.605263
0.6525605725722861,0.5813395982009403,0.842106,0.605263
0.706206089120733,0.6414470955943723,0.842106,0.605263
0.8115941631557819,0.45854335827028947,0.842106,0.605263
0.7471264703887315,0.49223655840103303,0.842106,0.605263
0.6323193286080449,0.6586078394656172,0.842106,0.605263
1.0,0.642857,0.868421,0.75
1.0,1.0,1.0,1.0
0.6842104629451287,0.7293236187225212,0.789473,1.0
0.6808146859990545,0.770334635275653,0.789473,1.0
0.6353929513623631,0.7162473714930329,0.789473,1.0
0.6330613205003075,0.6730171111635088,0.789473,1.0
0.5413757887085545,0.6571728795624578,0.789473,1.0
0.5360420762070809,0.7754542565251684,0.789473,1.0
0.5101572460710504,0.6514276538585198,0.789473,1.0
0.647059,1.0,0.82353,1.0
0.5555553512654272,0.4588237376595865,0.558823,0.882353
1.0,0.611111,0.868421,0.666666
1.0,0.666667,0.868421,0.666666
0.8785423088960183,0.5555554040210525,0.868421,0.666666
0.894737,1.0,0.868421,0.710527
1.0,0.789474,0.868421,0.710527
0.5497392035091723,0.5643472483398946,0.868421,0.710527
0.7229914669741662,0.5479874748356739,0.789473,0.710527
0.5849522815143375,0.5016850768507525,0.789473,0.710527
0.5287636561519282,0.4962404876829346,0.789473,0.710527
0.842105,0.842105,0.736842,0.736842
0.7368420028354976,0.7368420036123431,0.736842,0.736842
0.4675066976182569,0.7199005580400129,0.736842,0.736842
0.615385,1.0,0.807692,1.0
0.625,0.882353,0.625,1.0
0.666667,0.631579,0.777778,0.631579
0.944444,0.736842,0.777778,0.631579
0.722222647767526,0.421052763569061,0.777778,0.631579
0.8253959926160798,0.6631575687272919,0.777778,0.631579
0.8055560249935938,0.43822944836464417,0.777778,0.631579
0.941176,1.0,0.794118,0.84375
0.8421053061293406,0.8235293114844557,0.789473,1.0
1.0,0.842105,0.868421,0.710526
0.833333,1.0,0.888888,0.888889
0.631579,1.0,0.526316,0.972222
